perturbation,variable,term,membership_type,breakpoint_index,direction,original_value,perturbed_value,effective_value,MAP,nDCG@10,P@5,MRR,delta_MAP,delta_nDCG@10,delta_P@5,delta_MRR,kendall_tau,average_rank_displacement
relevance.moderate.b1.minus_10,relevance,moderate,trimf,1,minus_10,0.35,0.315,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.moderate.b2.plus_10,relevance,moderate,trimf,2,plus_10,0.5,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.moderate.b2.minus_10,relevance,moderate,trimf,2,minus_10,0.5,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.moderate.b3.plus_10,relevance,moderate,trimf,3,plus_10,0.65,0.715,0.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.moderate.b3.minus_10,relevance,moderate,trimf,3,minus_10,0.65,0.585,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.good.b1.plus_10,relevance,good,trimf,1,plus_10,0.55,0.605,0.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.good.b1.minus_10,relevance,good,trimf,1,minus_10,0.55,0.495,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.good.b2.plus_10,relevance,good,trimf,2,plus_10,0.72,0.792,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.good.b2.minus_10,relevance,good,trimf,2,minus_10,0.72,0.648,0.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.good.b3.plus_10,relevance,good,trimf,3,plus_10,0.88,0.968,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
